Amount,Category,Description
185,Legume,Lentils: High in protein and fiber; great for heart health.
172,Legume,Chickpeas: Versatile and rich in protein and fiber.
190,Legume,"Edamame: Young soybeans, rich in protein and essential nutrients."
185,Legume,Black beans: Protein-rich and high in fiber for digestion.
185,Legume,"Kidney beans: High in protein and fiber, excellent in stews."
240,Plant-Based Milk,Soy milk: High in protein and often fortified with vitamins.
240,Dairy (optional),Greek yogurt: High in protein and probiotics (not vegan).
185,Grain,Quinoa: Complete protein with all nine essential amino acids.
120,Grain,Buckwheat: High in protein and essential nutrients.
30,Nut/Seed,"Chia seeds: High in protein, omega-3 fatty acids, and fiber."
30,Nut/Seed,Hemp seeds: Complete protein source with healthy fats.
28,Nut/Seed,Pumpkin seeds: Rich in protein and various minerals.
30,Nut/Seed,Flaxseeds: Provides protein along with omega-3 fatty acids.
120,Soy-Based Product,Tofu: Versatile protein source made from soybeans.
120,Soy-Based Product,"Tempeh: Fermented soybeans, high in protein and probiotics."
120,Dairy (optional),"Cottage cheese: High in casein protein, slow-digesting (not vegan)."
